tipo,lat,lng
Chapéu chinês,-25.46815657,-49.19191056,
Novo mobiliário,-25.48835989,-49.29956746,
Novo mobiliário,-25.43447883,-49.27987787,
Sem demarcação,-25.47242634,-49.22758217,
Sem demarcação,-25.53465201,-49.33267943,
Sem demarcação,-25.55588203,-49.27366185,
Novo mobiliário,-25.45765063,-49.21658023,
Chapéu chinês,-25.49978532,-49.33505359,
Chapéu chinês,-25.40110299,-49.28092746,
Novo mobiliário,-25.50162,-49.22254,
Sem demarcação,-25.55772953,-49.27119556,
Chapéu chinês,-25.38785966,-49.24731155,
Placa em cano,-25.38302642,-49.26133308,
Chapéu chinês,-25.53291307,-49.2834287,
Plataforma,-25.53455198,-49.26816195,
Chapéu chinês,-25.48535299,-49.27988592,
Novo mobiliário,-25.3970752,-49.23795111,
Domus,-25.39856618,-49.21021018,
Chapéu chinês,-25.38192285,-49.33445634,
Novo mobiliário,-25.46262622,-49.23600565,
Chapéu chinês,-25.47495527,-49.19454266,
Chapéu chinês,-25.55063943,-49.28177285,
Novo mobiliário,-25.42636483,-49.28650427,
Placa em cano,-25.51319695,-49.30452156,
Novo mobiliário,-25.49265257,-49.29843566,
Chapéu chinês,-25.52379609,-49.33374468,
Chapéu chinês,-25.377012,-49.30648941,
Chapéu chinês,-25.54058,-49.24921,
Placa em cano,-25.41342288,-49.29835638,
Novo mobiliário,-25.53053312,-49.25601525,
Plataforma,-25.40664524,-49.25241785,
Placa em cano,-25.3574936,-49.27214775,
Chapéu chinês,-25.48766045,-49.3508099,
Sem demarcação,-25.4684229,-49.30481824,
Chapéu chinês,-25.49382606,-49.333586,
Novo mobiliário,-25.45715555,-49.2169223,
Chapéu chinês,-25.55079013,-49.33882293,
Chapéu chinês,-25.59082,-49.33491,
Novo mobiliário,-25.5383616,-49.27913892,
Especial Madrugueiro,-25.43768436,-49.26699355,
Estação tubo,-25.48523209,-49.26679704,
Chapéu chinês,-25.49693,-49.23261,
Novo mobiliário,-25.44089233,-49.21382351,
Chapéu chinês,-25.47855372,-49.23220169,
Novo mobiliário,-25.45819637,-49.34671919,
Novo mobiliário,-25.40782154,-49.33889586,
Chapéu chinês,-25.46900916,-49.20382957,
Novo mobiliário,-25.38733,-49.24524,
Especial Madrugueiro,-25.43795927,-49.31423798,
Concreto,-25.43051547,-49.32965452,
Placa em poste,-25.42222782,-49.30399747,
Placa em cano,-25.50521787,-49.27335149,
Placa em poste,-25.55097096,-49.29565194,
Domus,-25.43307029,-49.22577101,
Estação tubo,-25.44481585,-49.28559518,
Novo mobiliário,-25.4843594,-49.2205635,
Sem demarcação,-25.38262082,-49.25702277,
Placa em poste,-25.39260435,-49.21465364,
Novo mobiliário,-25.43852939,-49.26073897,
Domus,-25.54395642,-49.33270767,
Placa em cano,-25.43700399,-49.26952991,
Novo mobiliário,-25.42640425,-49.29921379,
Chapéu chinês,-25.50901086,-49.28999215,
Novo mobiliário,-25.3821822,-49.26810901,
Placa em cano,-25.46914,-49.20388,
Novo mobiliário,-25.42920186,-49.29676908,
Domus,-25.46053399,-49.20088452,
Placa em poste,-25.47949673,-49.35525989,
Chapéu chinês,-25.43984397,-49.26200363,
Chapéu chinês,-25.42375505,-49.36015236,
Novo mobiliário,-25.38839657,-49.26744852,
Novo mobiliário,-25.4191911,-49.23606399,
Chapéu chinês,-25.38630046,-49.33503436,
Chapéu chinês,-25.47496402,-49.22337245,
Novo mobiliário,-25.52434306,-49.24603988,
Domus,-25.53830911,-49.26885367,
Chapéu chinês,-25.39279569,-49.33247331,
Chapéu chinês,-25.48432,-49.30918,
Estação tubo,-25.47402445,-49.26998069,
Domus,-25.37132779,-49.2741822,
Plataforma,-25.39351746,-49.24061637,
Novo mobiliário,-25.40706805,-49.27157839,
Chapéu chinês,-25.38535,-49.22804,
Estação tubo,-25.52760002,-49.24077434,
Especial Madrugueiro,-25.3880292,-49.23532873,
Chapéu chinês,-25.50549324,-49.32657977,
Sem demarcação,-25.37581241,-49.31130397,
Domus,-25.3581594,-49.27470061,
Novo mobiliário,-25.53117522,-49.25840122,
Novo mobiliário,-25.45704232,-49.29704267,
Sem demarcação,-25.39253722,-49.30329899,
Novo mobiliário,-25.48749521,-49.25695896,
Chapéu chinês,-25.51079228,-49.33389192,
Domus,-25.40097942,-49.20920703,
Chapéu chinês,-25.45221784,-49.2034937,
Chapéu chinês,-25.41827,-49.34024,
Chapéu chinês,-25.41110799,-49.33311972,
Placa em poste,-25.4654093,-49.23625308,
Novo mobiliário,-25.44949216,-49.30356044,
Novo mobiliário,-25.45561103,-49.28546223,
Placa em poste,-25.54056089,-49.24659085,
Placa em poste,-25.57621116,-49.33546901,
Novo mobiliário,-25.492413,-49.25962939,
Sem demarcação,-25.4777473,-49.35909008,
Novo mobiliário,-25.4329901,-49.30320889,
Novo mobiliário,-25.4944041,-49.28206796,
Especial Madrugueiro,-25.43808159,-49.23882231,
Placa em poste,-25.53522946,-49.24902409,
Novo mobiliário,-25.4475191,-49.27201327,
Sem demarcação,-25.36995289,-49.2517349,
Chapéu chinês,-25.37745128,-49.24368954,
Chapéu chinês,-25.3680829,-49.25036809,
Plataforma,-25.51147058,-49.32492265,
Chapéu chinês,-25.48570947,-49.19726939,
Placa em cano,-25.50741,-49.27303,
Novo mobiliário,-25.43124779,-49.26957611,
Domus,-25.53655,-49.33219,
Novo mobiliário,-25.43955892,-49.2697839,
Novo mobiliário,-25.42804152,-49.29081615,
Novo mobiliário,-25.47574726,-49.31897793,
Domus,-25.4827211,-49.28830671,
Domus,-25.46413427,-49.28381865,
Placa em cano,-25.47788699,-49.21266139,
Chapéu chinês,-25.494821,-49.20873849,
